rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Blocked content misdirection,URGENT,Homepage,Low,0.5-2 days,5,10,no,trust,"The homepage hero displays 'blocked' messages instead of the intended headline, undermining credibility and confusing visitors.","The hero contains multiple H1s that are 'blocked' messages, indicating a rendering issue that prevents visitors from seeing the intended message, causing confusion and distrust.",h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Ensure the hero content is server-side rendered or uses fallback text that is not blocked by ad blockers. The hero should always display the intended message without any 'blocked' placeholders.,"H1s include: 'shop.app is blocked', 'www.allbirds.com is blocked' (repeated 4 times) | H1s include 'shop.app is blocked' and 'www.allbirds.com is blocked' repeated five times; body sample shows 'shop.app is blocked' and 'www.allbirds.com is blocked'. | H1s include 'shop.app is blocked' and multiple 'www.allbirds.com is blocked'; title is 'shop.app' instead of Allbirds; no meta description or canonical. | SEO title: 'shop.app', H1s: 'shop.app is blocked', 'www.allbirds.com is blocked' (repeated 4 times).","Message Clarity, Form / Friction, Trust & Objection, Nav & Distraction",70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_1_blocked_content_misdirection.html
2,Misleading blocked page title,URGENT,Homepage,Medium,2-5 days,5,10,no,trust,"The homepage title is 'shop.app' and H1s include 'www.allbirds.com is blocked', misrepresenting the site and damaging trust.","The homepage title is 'shop.app' and the H1s include 'www.allbirds.com is blocked', which misrepresents the site and can confuse users, damaging trust and potentially causing them to leave.",h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Fix title tag to 'Allbirds | Comfortable Sustainable Shoes & Apparel' and remove any 'blocked' H1s.,"SEO title: 'shop.app', H1s: 'shop.app is blocked', 'www.allbirds.com is blocked' (repeated 4 times).",Nav & Distraction,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_2_misleading_blocked_page_title.html
3,Multiple competing CTAs,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"The hero presents six competing CTAs, causing decision paralysis and diluting focus.","The hero section presents multiple competing CTAs without a single clear primary action, diluting user focus and reducing click-through to a specific product category.",h1: Wildly Comfortable. Super Natural.; cta: Single primary CTA: 'Shop Bestsellers' or 'Shop Women's' (depending on target audience); notes: Reduce to one primary CTA and secondary links in nav; prioritize based on business goals.,"CTAs listed: 'Shop All', 'Shop Womens', 'Shop Mens', 'Shop Socks', 'Shop Women's Sale', 'Shop Men's Sale' in the hero area | H1: 'Wildly Comfortable. Super Natural.'",Funnel-Path & Commerce Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_3_multiple_competing_ctas.html
4,Spec-forward hero copy,HIGH,Homepage,Low,0.5-2 days,5,10,no,conversion,"The hero headline is vague and feature-led, failing to address visitor intent for comfortable, sustainable shoes.","The hero headline 'Wildly Comfortable. Super Natural.' is abstract and feature-led, failing to directly address the visitor's intent to find comfortable, sustainable shoes, and the CTA 'Shop All' is generic, lacking urgency or clarity.","h1: Shoes That Feel Like Nothing. Made from Nature.; cta: Shop Best Sellers; notes: The headline directly addresses the visitor's likely intent (comfort and sustainability) and the CTA is more specific, leading to a curated collection that helps the visitor find what they need faster.",H1: 'Wildly Comfortable. Super Natural.' | CTA: 'Shop All',Message Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_4_spec_forward_hero_copy.html
5,Hidden costs in shipping notice,HIGH,Homepage,Medium,2-5 days,5,10,no,trust,"Free shipping threshold and delay warning are buried in small text, not prominent, causing late discovery and potential cart abandonment.","The free shipping threshold is not clearly communicated upfront; the notice 'Free ground shipping on orders over $100' is buried in the body text, and the 'Due to increased demand, orders may take up to 30 days to ship' warning may deter immediate purchase due to perceived delay.",h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Place free shipping threshold and delivery estimate near CTAs or in a banner; consider offering free shipping with no minimum to reduce friction.,"Body sample: 'Free ground shipping on orders over $100 Due to increased demand, orders may take up to 30 days to ship.'",Funnel-Path & Commerce Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_5_hidden_costs_in_shipping_notice.html
6,Missing trust signals,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion|trust,"The hero lacks visible trust elements like reviews, guarantees, or return policy, critical for first-time visitors.","The homepage lacks visible trust elements like review counts, guarantees, or shipping policy details, which are critical for first-time visitors to overcome skepticism about comfort and quality.","h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Add a trust bar below the hero with '30-Day Guarantee', 'Free Shipping & Returns', and a star rating with review count (e.g., '4.8/5 from 20,000+ reviews') to neutralize objections about comfort and fit.","Body sample shows 'Free ground shipping on orders over $100' but no review counts, guarantee badges, or explicit return policy visible in the hero; trust flags indicate reviews and guarantee exist but are not prominent.",Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_6_missing_trust_signals.html
7,Free shipping threshold hidden,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"Free shipping threshold is only in body text, not near pricing or CTAs, causing late discovery and potential abandonment.","The free shipping threshold is only mentioned in the body text, not prominently displayed near pricing or CTAs, causing users to discover it late and potentially abandon cart.",h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Add a banner or near-CTA note: 'Free shipping on orders over $100' to set expectations early.,Body sample: 'Free ground shipping on orders over $100' appears in the body text but not in the hero or near product prices.,Pricing Transparency,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_7_free_shipping_threshold_hidden.html
8,Mega-menu choice overload,HIGH,Navigation,Medium,2-5 days,5,10,no,conversion,"The mega-menu has 20+ items, overwhelming users and increasing cognitive load, leading to choice paralysis.","The mega-menu presents 20+ nav items with multiple subcategories and product links, overwhelming users and increasing cognitive load, which can lead to choice paralysis and reduced click-through.","h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Simplify mega-menu to top 5-7 categories, use clear hierarchy, and reduce subcategory links to avoid choice overload.","Nav items list includes 20 entries: 'New Arrivals', 'Shop All', 'Bestsellers', 'LEATHER ALTERNATIVES', 'Men's Shoes', 'Sneakers', 'Slip Ons', 'Sandals', 'Active', 'All-Weather', 'Runner NZ', 'Cruiser', 'Tree Runner NZ', 'Socks', 'Men's Apparel', 'Women's Shoes', 'Trainers', 'Flats', 'Canvas Cruiser', 'Women's Apparel'.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_8_mega_menu_choice_overload.html
9,No responsive viewport declared,URGENT,Mobile,Medium,2-5 days,4,10,yes,conversion,"Without a viewport meta tag, mobile browsers render the desktop layout scaled down, making tap targets too small.","Without a viewport meta tag mobile browsers render the desktop layout scaled down, making every tap target too small.","notes: Add <meta name=""viewport"" content=""width=device-width, initial-scale=1"">","Measured on the mobile render: no <meta name=""viewport""> present.",Technical & Accessibility,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_9_no_responsive_viewport.html
10,Shipping delay warning buried,HIGH,Product Page,Medium,2-5 days,4,10,no,refunds,"Shipping delay warning is only in body text, not near price or add-to-cart, creating expectation gap and potential refunds.","The warning about up to 30-day shipping delays is only in the body text, not near the price or add-to-cart, creating an expectation gap that may lead to refunds and dissatisfaction.",h1: Anytime Ankle Sock; cta: Add to Cart; notes: Display a prominent notice near the price: 'Orders may take up to 30 days to ship' to manage expectations.,"Body sample: 'Due to increased demand, orders may take up to 30 days to ship.' appears in the body text but not near product prices or CTAs.",Pricing Transparency,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_10_shipping_delay_warning_buried.html
